Lake Erie:, Annual Lake-Wide Average Water Levels (1918 - Present)
Source:, NOAA/NOS; CHS
year,AnnAvg,Change
1918,174.02,0
1919,174.18,0.16
1920,173.91,-0.27
1921,174.03,0.12
1922,173.93,-0.1
1923,173.76,-0.17
1924,173.84,0.08
1925,173.59,-0.25
1926,173.64,0.05
1927,173.82,0.18
1928,173.95,0.13
1929,174.31,0.36
1930,174.27,-0.04
1931,173.7,-0.57
1932,173.74,0.04
1933,173.68,-0.06
1934,173.33,-0.35
1935,173.41,0.08
1936,173.49,0.08
1937,173.82,0.33
1938,173.84,0.02
1939,173.85,0.01
1940,173.8,-0.05
1941,173.7,-0.1
1942,173.88,0.18
1943,174.23,0.35
1944,174.09,-0.14
1945,174.19,0.1
1946,174.14,-0.05
1947,174.24,0.1
1948,174.22,-0.02
1949,173.97,-0.25
1950,174.14,0.17
1951,174.32,0.18
1952,174.52,0.2
1953,174.33,-0.19
1954,174.29,-0.04
1955,174.35,0.06
1956,174.12,-0.23
1957,174.04,-0.08
1958,173.81,-0.23
1959,173.85,0.04
1960,174.09,0.24
1961,174.1,0.01
1962,173.91,-0.19
1963,173.73,-0.18
1964,173.61,-0.12
1965,173.71,0.1
1966,173.9,0.19
1967,174.06,0.16
1968,174.2,0.14
1969,174.39,0.19
1970,174.26,-0.13
1971,174.31,0.05
1972,174.5,0.19
1973,174.74,0.24
1974,174.69,-0.05
1975,174.62,-0.07
1976,174.57,-0.05
1977,174.3,-0.27
1978,174.37,0.07
1979,174.39,0.02
1980,174.52,0.13
1981,174.4,-0.12
1982,174.42,0.02
1983,174.52,0.1
1984,174.52,0
1985,174.73,0.21
1986,174.9,0.17
1987,174.67,-0.23
1988,174.26,-0.41
1989,174.23,-0.03
1990,174.29,0.06
1991,174.33,0.04
1992,174.36,0.03
1993,174.5,0.14
1994,174.37,-0.13
1995,174.28,-0.09
1996,174.37,0.09
1997,174.72,0.35
1998,174.55,-0.17
1999,174.1,-0.45
2000,173.99,-0.11
2001,173.91,-0.08
2002,174.06,0.15
2003,173.97,-0.09
2004,174.12,0.15
2005,174.17,0.05
2006,174.14,-0.03
2007,174.14,0
2008,174.16,0.02
2009,174.25,0.09
2010,174.06,-0.19
2011,174.24,0.18
2012,174.13,-0.11
2013,174.06,-0.07
2014,174.21,0.15000000000000568
2015,174.32,0.10999999999998522
