Lake Superior:, Annual Lake-Wide Average Water Levels (1918 - Present)
Source:, NOAA/NOS; CHS
year,AnnAvg,Change
1918,183.33,0
1919,183.4,0.07
1920,183.43,0.03
1921,183.36,-0.07
1922,183.32,-0.04
1923,183.22,-0.1
1924,183.13,-0.09
1925,183.03,-0.1
1926,182.94,-0.09
1927,183.32,0.38
1928,183.47,0.15
1929,183.5,0.03
1930,183.44,-0.06
1931,183.33,-0.11
1932,183.43,0.1
1933,183.44,0.01
1934,183.5,0.06
1935,183.51,0.01
1936,183.46,-0.05
1937,183.45,-0.01
1938,183.56,0.11
1939,183.56,0
1940,183.38,-0.18
1941,183.44,0.06
1942,183.54,0.1
1943,183.61,0.07
1944,183.51,-0.1
1945,183.54,0.03
1946,183.52,-0.02
1947,183.55,0.03
1948,183.39,-0.16
1949,183.44,0.05
1950,183.63,0.19
1951,183.7,0.07
1952,183.63,-0.07
1953,183.48,-0.15
1954,183.41,-0.07
1955,183.34,-0.07
1956,183.32,-0.02
1957,183.32,0
1958,183.3,-0.02
1959,183.4,0.1
1960,183.42,0.02
1961,183.31,-0.11
1962,183.3,-0.01
1963,183.3,0
1964,183.34,0.04
1965,183.34,0
1966,183.4,0.06
1967,183.38,-0.02
1968,183.49,0.11
1969,183.51,0.02
1970,183.45,-0.06
1971,183.58,0.13
1972,183.55,-0.03
1973,183.6,0.05
1974,183.62,0.02
1975,183.59,-0.03
1976,183.48,-0.11
1977,183.37,-0.11
1978,183.44,0.07
1979,183.49,0.05
1980,183.44,-0.05
1981,183.36,-0.08
1982,183.42,0.06
1983,183.57,0.15
1984,183.54,-0.03
1985,183.67,0.13
1986,183.73,0.06
1987,183.47,-0.26
1988,183.32,-0.15
1989,183.4,0.08
1990,183.26,-0.14
1991,183.34,0.08
1992,183.4,0.06
1993,183.45,0.05
1994,183.44,-0.01
1995,183.34,-0.1
1996,183.55,0.21
1997,183.6,0.05
1998,183.32,-0.28
1999,183.26,-0.06
2000,183.18,-0.08
2001,183.2,0.02
2002,183.28,0.08
2003,183.19,-0.09
2004,183.3,0.11
2005,183.33,0.03
2006,183.18,-0.15
2007,182.98,-0.2
2008,183.21,0.23
2009,183.26,0.05
2010,183.14,-0.12
2011,183.09,-0.05
2012,183.1,0.01
2013,183.22,0.12
2014,183.51,0.28999999999999204
2015,183.57,0.6
